ticker,company,sector,industry,country,market_cap,fiscal_year_end_month,biz_model,market_cap_str,exclude_analysis
GE,GE Aerospace,Industrials,Aerospace & Defense,United States,336476930048,12,"General Electric Company, doing business as GE Aerospace, designs and produces commercial and defense aircraft engines, integrated engine components, electric power, and aircraft systems. The company operates through two segments, Commercial Engines & Services, and Defense & Propulsion Technologies.",$336.5B,False
MS,Morgan Stanley,Financial Services,Capital Markets,United States,334762934272,12,"Morgan Stanley, a financial holding company, provides various financial products and services to corporations, governments, financial institutions, and individuals in the Americas, Asia, Europe, the Middle East, and Africa. It operates through Institutional Securities, Wealth Management, and Investment Management segments.",$334.8B,True
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,327161184256,12,"Palantir Technologies Inc. builds and deploys software platforms for the intelligence community to assist in counterterrorism investigations and operations in the United States, the United Kingdom, and internationally.",$327.2B,False
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,United States,308817002496,1,"The Home Depot, Inc. operates as a home improvement retailer in the United States and internationally.",$308.8B,False
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,United States,308282753024,12,"The Goldman Sachs Group, Inc., a financial institution, provides a range of financial services for corporations, financial institutions, governments, and individuals in the Americas, Europe, the Middle East, Africa, and Asia. It operates through three segments: Global Banking & Markets, Asset & Wealth Management, and Platform Solutions.",$308.3B,True
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,United States,295193411584,12,"Merck & Co., Inc. operates as a healthcare company worldwide.",$295.2B,False
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,United States,275370672128,6,"KLA Corporation, together with its subsidiaries, designs, manufactures, and markets process control, process-enabling, and yield management solutions for the semiconductor and related electronics industries worldwide. The company operates through three segments: Semiconductor Process Control; Specialty Semiconductor Process; and PCB and Component Inspection.",$275.4B,False
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,United States,274399870976,12,Philip Morris International Inc. operates as a tobacco company.,$274.4B,False
TXN,Texas Instruments Incorporated,Technology,Semiconductors,United States,264745992192,12,"Texas Instruments Incorporated designs, manufactures, and sells semiconductors to electronics designers and manufacturers in the United States, China, the rest of Asia, Europe, the Middle East, Africa, Japan, and internationally. It operates through Analog and Embedded Processing segments.",$264.7B,False
IBM,International Business Machines Corporation,Technology,Information Technology Services,United States,263938605056,12,"International Business Machines Corporation, together with its subsidiaries, provides integrated solutions and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through Software, Consulting, Infrastructure, and Financing segments.",$263.9B,False
DELL,Dell Technologies Inc.,Technology,Computer Hardware,United States,260327456768,1,"Dell Technologies Inc. designs, develops, manufactures, markets, sells, and supports various comprehensive and integrated solutions, products, and services in the Americas, Europe, the Middle East, Asia, and internationally.",$260.3B,False
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,United States,250944159744,12,"GE Vernova Inc., an energy company, engages in the provision of various products and services that generate, transfer, orchestrate, convert, and store electricity in the United States, Europe, Asia, the Middle East, and Africa. The company operates through three segments: Power, Wind, and Electrification.",$250.9B,False
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,United States,247752933376,12,"Wells Fargo & Company, a financial services company, provides diversified banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management.",$247.8B,True
SNDK,Sandisk Corporation,Technology,Computer Hardware,United States,243163381760,6,"Sandisk Corporation develops, manufactures, and sells data storage devices and solutions using NAND flash technology in the United States, Europe, the Middle East, Africa, Asia, and internationally. The company offers solid state drives for desktop and notebook PCs, gaming consoles, and set top boxes; and flash-based embedded storage products for mobile phones, tablets, notebook PCs and other portable and wearable devices, automotive applications, Internet of Things, industrial, and connected home applications, as well as removable cards, universal serial bus drives, and wafers and components.",$243.2B,False
RTX,RTX Corporation,Industrials,Aerospace & Defense,United States,240598466560,12,"RTX Corporation, an aerospace and defense company, provides systems and services for commercial, military, and government customers worldwide. It operates through three segments: Collins Aerospace (Collins), Pratt & Whitney, and Raytheon.",$240.6B,False
LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,232061353984,12,"Linde plc operates as an industrial gas company worldwide. It offers atmospheric gases, including oxygen, nitrogen, argon, and rare gases; and process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, electronic gases, specialty gases, and acetylene.",$232.1B,False
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,United States,229529583616,9,QUALCOMM Incorporated engages in the development and commercialization of foundational technologies for the wireless industry worldwide. It operates through three segments: Qualcomm CDMA Technologies (QCT); Qualcomm Technology Licensing (QTL); and Qualcomm Strategic Initiatives (QSI).,$229.5B,False
C,Citigroup Inc.,Financial Services,Banks - Diversified,United States,227319300096,12,"Citigroup Inc., a diversified financial service holding company, provides various financial products and services to consumers, corporations, governments, and institutions. It operates through five segments: Services, Markets, Banking, U.S.",$227.3B,True
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,United States,217058934784,7,"Palo Alto Networks, Inc. provides cybersecurity solutions in the Americas, Europe, the Middle East, Africa, the Asia Pacific, and Japan.",$217.1B,False
AXP,American Express Company,Financial Services,Credit Services,United States,213090549760,12,"American Express Company, together with its subsidiaries, operates as an integrated payments company in the United States, Europe, the Middle East and Africa, the Asia Pacific, Australia, New Zealand, Latin America, Canada, the Caribbean, and internationally. It operates through four segments: U.S.",$213.1B,True
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,Singapore,198371065856,6,"Seagate Technology Holdings plc engages in the provision of data storage technology and infrastructure solutions in Singapore, the United States, the Netherlands, and internationally. The company offers mass capacity storage products, including enterprise nearline hard disk drives (HDDs), enterprise nearline solid state drives (SSDs), enterprise nearline systems, video and image HDDs, and network-attached storage drives.",$198.4B,False
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,United States,197364318208,12,"McDonald's Corporation owns, operates, and franchises restaurants under the McDonald's brand in the United States and internationally. It offers food and beverages, including hamburgers and cheeseburgers, various chicken sandwiches, fries, shakes, frozen desserts, sundaes, soft serve cones, cookies, pies, soft drinks, coffee, and other beverages; and full or limited breakfast, as well as sells various other products during limited-time promotions.",$197.4B,False
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,United States,196934090752,12,"Arista Networks, Inc. engages in the development, marketing, and sale of data-driven, client to cloud networking solutions for AI, data center, campus, and routing environments in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific.",$196.9B,False
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,196729585664,11,"Analog Devices, Inc. engages in the design, manufacture, testing, and marketing of integrated circuits (ICs), software, and subsystems products in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia.",$196.7B,False
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,United States,193097777152,12,"T-Mobile US, Inc., together with its subsidiaries, provides wireless communications services in the United States, Puerto Rico, and the United States Virgin Islands. The company offers voice, messaging, and data services to postpaid, prepaid, and wholesale and other services customers.",$193.1B,False
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,United States,192301236224,12,"PepsiCo, Inc. engages in the manufacture, marketing, distribution, and sale of various beverages and convenient foods worldwide.",$192.3B,False
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,United States,189737385984,12,"Verizon Communications Inc., through its subsidiaries, engages in the provision of communications, technology, information, and streaming products and services to consumers, businesses, and governmental entities worldwide. It operates in two segments, Verizon Consumer Group (Consumer) and Verizon Business Group (Business).",$189.7B,False
APP,AppLovin Corporation,Communication Services,Advertising Agencies,United States,189365747712,12,"AppLovin Corporation provides end-to-end artificial intelligence-powered advertising solutions for businesses in the United States and internationally. It operates through two segments, Advertising and Apps.",$189.4B,False
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,186593345536,12,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide.",$186.6B,False
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,181623357440,7,"Western Digital Corporation develops, manufactures, and sells data storage devices and solutions based on hard disk drive (HDD) technology in the United States, Asia, Europe, the Middle East, and Africa. The company offers internal HDDs, data center drives, data center platforms, external drives, portable drives, NAS for home and office, and accessories.",$181.6B,False
APH,Amphenol Corporation,Technology,Electronic Components,United States,176661676032,12,"Amphenol Corporation, together with its subsidiaries, designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates through three segments: Communications Solutions, Harsh Environment Solutions, and Interconnect and Sensor Systems.",$176.7B,False
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,United States,176476520448,2,"The TJX Companies, Inc., together with its subsidiaries, operates as an off-price apparel and home fashions retailer worldwide. It operates through four segments: Marmaxx, HomeGoods, TJX Canada, and TJX International.",$176.5B,False
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,United States,175211708416,12,"NextEra Energy, Inc., through its subsidiaries, generates, stores, transmits, distributes, and sells electric power to retail and wholesale customers in North America. It operates through Florida Power & Light Company (FPL) and NEER segments.",$175.2B,False
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,United States,174524596224,12,"Thermo Fisher Scientific Inc. provides life sciences solutions, analytical instruments, specialty diagnostics, and laboratory products and biopharma services in the North America, Europe, Asia-Pacific, and internationally.",$174.5B,False
DIS,The Walt Disney Company,Communication Services,Entertainment,United States,171688902656,10,"The Walt Disney Company operates as an entertainment company in Americas, Europe, and the Asia Pacific. It operates in three segments: Entertainment, Sports, and Experiences.",$171.7B,False
BA,The Boeing Company,Industrials,Aerospace & Defense,United States,170210246656,12,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through three segments: Commercial Airplanes; Defense, Space & Security; and Global Services.",$170.2B,False
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,United States,167704756224,1,"CrowdStrike Holdings, Inc. provides cybersecurity solutions in the United States and internationally.",$167.7B,False
BLK,"BlackRock, Inc.",Financial Services,Asset Management,United States,161996816384,12,"BlackRock, Inc. is a publicly owned investment manager.",$162.0B,True
GLW,Corning Incorporated,Technology,Electronic Components,United States,161404010496,12,"Corning Incorporated operates in optical communications, display, specialty materials, automotive, and life sciences businesses in the United States, Canada, Mexico, Japan, Taiwan, China, South Korea, Germany, and internationally. The company provides optical fibers and cables; and hardware and equipment products, such as cable assemblies, fiber optic hardware and connectors, optical components and couplers, closures, network interface devices, and other accessories for the telecommunications industry, businesses, governments, and individuals.",$161.4B,False
UNP,Union Pacific Corporation,Industrials,Railroads,United States,159512936448,12,"Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, operates in the railroad business in the United States. It offers transportation services for grain and grain products, fertilizers, food and refrigerated products, and coal and renewables to grain processors, animal feeders, and ethanol and renewable biofuel producers; and construction products, industrial chemicals, plastics, forest products, specialized products, metals and ores, petroleum, liquid petroleum gases, soda ash, and sand, as well as finished automobiles, automotive parts, and merchandise in intermodal containers.",$159.5B,False
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,United States,159045107712,12,"Gilead Sciences, Inc., a biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical need in the United States, Europe, and internationally. The company provides Biktarvy, Descovy, Genvoya, Odefsey, Sunlenca, Symtuza, and YeztugoFor the treatment of HIV-1 infection in patients.",$159.0B,False
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,157634084864,12,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.",$157.6B,False
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,156539273216,12,"Eaton Corporation plc operates as a power management company in the United States, Canada, Latin America, Europe, and the Asia Pacific. The company operates through Electrical Americas, Electrical Global, Aerospace, Vehicle, and eMobility segments.",$156.5B,False
T,AT&T Inc.,Communication Services,Telecom Services,United States,156337618944,12,AT&T Inc. provides telecommunications and technology services worldwide.,$156.3B,False
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,United States,154852311040,11,"Deere & Company engages in the manufacture and distribution of various equipment worldwide. The company operates through four segments: Production and Precision Agriculture, Small Agriculture and Turf, Construction and Forestry, and Financial Services.",$154.9B,False
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,United States,153183059968,12,"The Charles Schwab Corporation, together with its subsidiaries, operates as a savings and loan holding company that provides wealth management, securities brokerage, banking, asset management, custody, and financial advisory services in the United States and internationally. The company operates in two segments, Investor Services and Advisor Services.",$153.2B,True
CRM,"Salesforce, Inc.",Technology,Software - Application,United States,149508456448,1,"Salesforce, Inc. provides customer relationship management technology services that connect companies and customers together in the United States, Europe, and the Asia Pacific.",$149.5B,False
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,United States,148256112640,12,"Intuitive Surgical, Inc. develops, manufactures, and markets products that enable physicians and healthcare providers to enhance the quality of and access to minimally invasive care in the United States and internationally.",$148.3B,False
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,United States,148165001216,12,"Interactive Brokers Group, Inc. operates as an automated electronic broker in the United States and internationally.",$148.2B,True
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,United States,146019762176,12,"Pfizer Inc. discovers, develops, manufactures, markets, distributes, and sells biopharmaceutical products in the United States and internationally.",$146.0B,False
COP,ConocoPhillips,Energy,Oil & Gas E&P,United States,144842981376,12,"ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids. It operates in five segments: Alaska; Lower 48; Canada; Europe, Middle East and North Africa; and Asia Pacific.",$144.8B,False
UBER,"Uber Technologies, Inc.",Technology,Software - Application,United States,142614052864,12,"Uber Technologies, Inc. develops and operates proprietary technology applications in the United States, Canada, Latin America, Europe, the Middle East, Africa, and the Asia Pacific.",$142.6B,False
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,United States,141182894080,12,"Welltower Inc. is a S&P 500 company, is positioned at the center of the silver economy, focusing on rental housing for aging seniors across the United States, United Kingdom and Canada.",$141.2B,True
BX,Blackstone Inc.,Financial Services,Asset Management,United States,139570102272,12,"Blackstone Inc. is an alternative asset management firm specializing in private equity, venture capital, real estate, hedge fund solutions, credit, secondary funds of funds, public debt and equity and multi-asset class strategies.",$139.6B,True
HON,Honeywell International Inc.,Industrials,Conglomerates,United States,134207733760,12,"Honeywell International Inc. engages in the aerospace technologies, industrial automation, building automation, and energy and sustainable solutions businesses in the United States, Europe, and internationally.",$134.2B,False
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,United States,133791137792,12,"Prologis, Inc. is a self-administered and self-managed REIT and is the sole general partner of Prologis, L.P.",$133.8B,True
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,United States,129897144320,12,"Danaher Corporation designs, manufactures, and markets professional, medical, research, and industrial products and services in the United States, China, and internationally. The company operates through Biotechnology, Life Sciences, and Diagnostics segments.",$129.9B,False
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,United States,125762772992,12,"Booking Holdings Inc., together with its subsidiaries, provides online and traditional travel and restaurant reservations and related services in the United States, the Netherlands, the United Kingdom, and internationally. The company operates Booking.com, which offers online accommodation reservations; and Priceline, which provides discount travel reservations services, as well as online accommodation, flight, rental car reservation services, vacation packages, cruises, activity, and affiliate programs.",$125.8B,False
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,Switzerland,124844408832,12,"Chubb Limited provides insurance and reinsurance products worldwide. It operates in six segments: North America Commercial Property and Casualty (P&C) Insurance, North America Personal P&C Insurance, North America Agricultural Insurance, Overseas General Insurance, Global Reinsurance, and Life Insurance.",$124.8B,True
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,United States,123867021312,12,"CVS Health Corporation provides health solutions in the United States. The company operates through Health Care Benefits, Health Services, and Pharmacy & Consumer Wellness segments.",$123.9B,False
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,United States,123458641920,12,"S&P Global Inc., together with its subsidiaries, provides benchmarks, data, analytics, and workflow solutions in the global capital, energy and commodity, and automotive markets. It operates through five segments: S&P Global Market Intelligence, S&P Global Ratings, S&P Global Energy, S&P Global Mobility, and S&P Dow Jones Indices.",$123.5B,True
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,United States,119909220352,12,"Lockheed Martin Corporation, an aerospace and defense company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services in the United States, Europe, Asia, the Middle East, and internationally. The company operates through four segments: Aeronautics; Missiles and Fire Control (MFC); Rotary and Mission Systems (RMS); and Space.",$119.9B,False
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,United States,119046545408,12,"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States. It offers cigarettes primarily under the Marlboro brand; large cigars and pipe tobacco under the Black & Mild brand; moist smokeless tobacco and oral tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands; oral nicotine pouches under the on!",$119.0B,False
NOW,"ServiceNow, Inc.",Technology,Software - Application,United States,117765062656,12,"ServiceNow, Inc. provides cloud-based solution for digital workflows in the North America, Europe, the Middle East and Africa, Asia Pacific, and internationally.",$117.8B,False
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,United States,116851712000,12,"The Progressive Corporation operates as an insurance company in the United States. It writes insurance for personal autos and special lines products, including motorcycles, RVs, and watercraft; and personal residential property insurance for homeowners and renters.",$116.9B,True
